province,date,year,quarter,quarter_label,projected_rate,projected_rate_upper,projected_rate_lower,is_projection,scenario
Limpopo,2027-04-01,2027,2,Q2 2027,36.89,43.79,29.99,True,Baseline
Limpopo,2027-04-01,2027,2,Q2 2027,36.49,41.32,31.65,True,Optimistic
Limpopo,2027-04-01,2027,2,Q2 2027,37.49,46.47,28.52,True,Pessimistic
Limpopo,2027-07-01,2027,3,Q3 2027,37.29,44.22,30.37,True,Baseline
Limpopo,2027-07-01,2027,3,Q3 2027,36.81,41.66,31.96,True,Optimistic
Limpopo,2027-07-01,2027,3,Q3 2027,38.01,47.02,29.01,True,Pessimistic
Limpopo,2027-10-01,2027,4,Q4 2027,37.69,44.64,30.75,True,Baseline
Limpopo,2027-10-01,2027,4,Q4 2027,37.13,41.99,32.27,True,Optimistic
Limpopo,2027-10-01,2027,4,Q4 2027,38.54,47.57,29.51,True,Pessimistic
Limpopo,2028-01-01,2028,1,Q1 2028,38.1,45.07,31.12,True,Baseline
Limpopo,2028-01-01,2028,1,Q1 2028,37.45,42.33,32.57,True,Optimistic
Limpopo,2028-01-01,2028,1,Q1 2028,39.06,48.12,30.0,True,Pessimistic
