province,date,working_age_population,labour_force,employed,unemployed,outside_labour_force,participation_rate,absorption_rate,inactivity_rate,unemployment_rate,year,quarter,quarter_label,unemployment_rate_qoq,unemployment_rate_yoy
Gauteng,2022-10-01,11016.964196680094,7428.021981416528,4904.69851616818,2523.3234652483234,3588.942215263606,67.4,44.5,32.57650793078966,34.0,2022,4,Q4 2022,0.29999999999999716,-2.6000000000000014
Gauteng,2023-01-01,11060.457056273213,7588.744608456926,4984.359073150181,2604.385535306746,3471.7124478163314,68.6,45.1,31.388507998823624,34.3,2023,1,Q1 2023,0.29999999999999716,-2.4000000000000057
Gauteng,2023-04-01,11104.146707976224,7605.142840906679,4988.051815689776,2617.091025216883,3499.00386706951,68.5,44.9,31.510785646918222,34.4,2023,2,Q2 2023,0.10000000000000142,0.0
Gauteng,2023-07-01,11147.556031349552,7576.3049402332945,5019.388360445951,2556.91657978736,3571.251091116205,68.0,45.0,32.03617977853185,33.7,2023,3,Q3 2023,-0.6999999999999957,0.0
Gauteng,2023-10-01,11189.703421409191,7599.235599946536,5034.332412526129,2564.903187420422,3590.467821462614,67.9,45.0,32.08724741171473,33.8,2023,4,Q4 2023,0.09999999999999432,-0.20000000000000284
Gauteng,2024-01-01,11232.224235732372,7689.077135622547,5060.750983675419,2628.3261519471125,3543.1471001098894,68.5,45.1,31.544483316476985,34.2,2024,1,Q1 2024,0.4000000000000057,-0.09999999999999432
Gauteng,2024-04-01,11274.88783030576,7858.140844671923,5102.640268869242,2755.5005758026327,3416.7469856339376,69.7,45.3,30.30404414712985,35.1,2024,2,Q2 2024,0.8999999999999986,0.7000000000000028
Gauteng,2024-07-01,11316.97285082576,7629.7326358999,5036.66084171211,2593.071794187783,3687.240214925843,67.4,44.5,32.6,34.0,2024,3,Q3 2024,-1.1000000000000014,0.29999999999999716
Gauteng,2024-10-01,11357.765399521408,7748.060412779058,5081.4155844667,2666.6448283123686,3609.7049867424503,68.2,44.7,31.8,34.4,2024,4,Q4 2024,0.3999999999999986,0.6000000000000014
Gauteng,2025-01-01,11398.646317613893,7799.020411183627,5090.723498367405,2708.2969128162085,3599.625906430271,68.4,44.7,31.6,34.7,2025,1,Q1 2025,0.30000000000000426,0.5
Gauteng,2025-04-01,11439.613777352426,7831.185710188608,5185.722716779108,2645.46299340951,3608.4280671638126,68.5,45.3,31.5,33.8,2025,2,Q2 2025,-0.9000000000000057,-1.3000000000000043
Gauteng,2025-07-01,11479.755359347535,7822.699380431084,5236.517717850419,2586.1816625807264,3657.0559789164054,68.1,45.6,31.9,33.1,2025,3,Q3 2025,-0.6999999999999957,-0.8999999999999986
Gauteng,2025-10-01,11518.210372777155,7738.813115898902,5182.973295267527,2555.83982063138,3779.3972568781887,67.2,45.0,32.8,33.0,2025,4,Q4 2025,-0.10000000000000142,-1.3999999999999986
